Marque,Gamme,Nom Commercial,Technologie,Score OBLINK,Type
Afflelou,Marque Enseigne,EGO,Personnalisé,7.5,Progressif
Afflelou,Marque Enseigne,Cent Pour Cent,BBGR/Shamir,6.5,Progressif
BBGR,Premium/Standard,Intuitiv Plus Mio,Vision Booster + Morpho,9,Progressif
BBGR,Premium/Standard,Intuitiv Plus,Vision Booster,8.5,Progressif
BBGR,Premium/Standard,Anateo Plus Mio,Biométrie,8,Progressif
BBGR,Premium/Standard,Anateo Plus Mio Short/Mini,Biométrie,8,Progressif
BBGR,Premium/Standard,Anateo Plus,Grand Champ,7.5,Progressif
BBGR,Premium/Standard,Anateo Plus Short/Mini,Grand Champ,7.5,Progressif
BBGR,Premium/Standard,Sirus Plus Mio,Digital Surfaçage,7,Progressif
BBGR,Premium/Standard,Sirus Plus,Standard Plus,6.5,Progressif
BBGR,Premium/Standard,Evolis DS,Double Surface,6,Progressif
BBGR,Premium/Standard,EasyWork Progressif,Dégressif,6,Progressif
BBGR,Premium/Standard,Quadro,Standard,5,Progressif
BBGR,Premium/Standard,Extenso,Proximité,5,Progressif
Essilor,Premium/Standard,Varilux XR Series,IA Comportementale + XR-Motion,10,Progressif
Essilor,Premium/Standard,Varilux XR Track,IA + Eye Tracking,10,Progressif
Essilor,Premium/Standard,Varilux XR Pro,IA + Personnalisation Ultime,10,Progressif
Essilor,Premium/Standard,Varilux X 4D,Xtend + Dominance Oculaire,9.5,Progressif
Essilor,Premium/Standard,Varilux X Design,Xtend Technology,9,Progressif
Essilor,Premium/Standard,Varilux X fit,Xtend + Paramètres Port,9,Progressif
Essilor,Premium/Standard,Varilux S 4D,Nanoptix + Dominance,8.5,Progressif
Essilor,Premium/Standard,Varilux S Design,Nanoptix + SynchronEyes,8,Progressif
Essilor,Premium/Standard,Varilux Physio 3.0 Fit,Binocular Booster + Fit,7.5,Progressif
Essilor,Premium/Standard,Varilux Physio 3.0 Fit Short/Mini,Binocular Booster + Fit,7.5,Progressif
Essilor,Premium/Standard,Varilux Physio 3.0,Binocular Booster,7,Progressif
